sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO51177,BK-T44U-46,27873,20121228,20130104,20130109,1215,1,1215
SO51177,HL-U509,27873,20121228,20130104,20130109,35,1,35
SO51178,BK-M68S-38,11245,20121228,20130104,20130109,2320,1,2320
SO51178,BC-M005,11245,20121228,20130104,20130109,10,1,10
SO51178,WB-H098,11245,20121228,20130104,20130109,5,1,5
SO51179,BK-R89B-52,22430,20121228,20130104,20130109,2443,1,2443
SO51179,TI-R982,22430,20121228,20130104,20130109,33,1,33
SO51179,TT-R982,22430,20121228,20130104,20130109,4,1,4
SO51179,ST-1401,22430,20121228,20130104,20130109,159,1,159
SO51180,BK-R89B-44,16313,20121228,20130104,20130109,2443,1,2443
SO51180,BC-R205,16313,20121228,20130104,20130109,9,1,9
SO51180,WB-H098,16313,20121228,20130104,20130109,5,1,5
SO51180,HL-U509-R,16313,20121228,20130104,20130109,35,1,35
SO51180,LJ-0192-M,16313,20121228,20130104,20130109,50,1,50
SO51181,BK-R89R-58,12132,20121228,20130104,20130109,2443,1,2443
SO51181,TT-R982,12132,20121228,20130104,20130109,4,1,4
SO51181,TI-R982,12132,20121228,20130104,20130109,33,1,33
SO51181,HL-U509-R,12132,20121228,20130104,20130109,35,1,35
SO51182,BK-R79Y-42,22998,20121228,20130104,20130109,1701,1,1701
SO51182,LJ-0192-L,22998,20121228,20130104,20130109,50,1,50
SO51183,BK-R79Y-42,20662,20121228,20130104,20130109,1701,1,1701
SO51183,LJ-0192-L,20662,20121228,20130104,20130109,50,1,50
SO51184,BK-M68S-38,11263,20121228,20130104,20130109,2320,1,2320
SO51184,TI-M823,11263,20121228,20130104,20130109,35,1,35
SO51184,TT-M928,11263,20121228,20130104,20130109,5,1,5
SO51184,HL-U509-B,11263,20121228,20130104,20130109,35,1,35
SO51185,BK-T18Y-58,27767,20121228,20130104,20130109,742,1,742
SO51185,TI-T723,27767,20121228,20130104,20130109,29,1,29
SO51185,TT-T092,27767,20121228,20130104,20130109,5,1,5
SO51186,BK-T79U-46,24339,20121228,20130104,20130109,2384,1,2384
SO51187,BK-R19B-52,22261,20121228,20130104,20130109,540,1,540
SO51187,TI-R092,22261,20121228,20130104,20130109,21,1,21
SO51188,BK-R19B-52,12657,20121228,20130104,20130109,540,1,540
SO51189,BK-R89B-48,16688,20121229,20130105,20130110,2443,1,2443
SO51189,HL-U509,16688,20121229,20130105,20130110,35,1,35
SO51189,GL-H102-L,16688,20121229,20130105,20130110,24,1,24
SO51190,BK-R79Y-40,20824,20121229,20130105,20130110,1701,1,1701
SO51190,TT-R982,20824,20121229,20130105,20130110,4,1,4
SO51190,TI-R628,20824,20121229,20130105,20130110,25,1,25
SO51191,BK-M68B-46,12390,20121229,20130105,20130110,2295,1,2295
SO51191,BC-M005,12390,20121229,20130105,20130110,10,1,10
SO51191,WB-H098,12390,20121229,20130105,20130110,5,1,5
SO51191,HL-U509-R,12390,20121229,20130105,20130110,35,1,35
SO51192,BK-M68B-46,11241,20121229,20130105,20130110,2295,1,2295
SO51192,HL-U509-R,11241,20121229,20130105,20130110,35,1,35
SO51193,BK-M68B-46,11020,20121229,20130105,20130110,2295,1,2295
SO51193,FE-6654,11020,20121229,20130105,20130110,22,1,22
SO51194,BK-M68B-46,11089,20121229,20130105,20130110,2295,1,2295
SO51194,FE-6654,11089,20121229,20130105,20130110,22,1,22
SO51194,HL-U509,11089,20121229,20130105,20130110,35,1,35
SO51195,BK-M38S-40,14066,20121229,20130105,20130110,769,1,769
SO51195,TT-M928,14066,20121229,20130105,20130110,5,1,5
SO51195,TI-M602,14066,20121229,20130105,20130110,30,1,30
SO51196,BK-R19B-44,18906,20121229,20130105,20130110,540,1,540
SO51196,BC-R205,18906,20121229,20130105,20130110,9,1,9
SO51196,WB-H098,18906,20121229,20130105,20130110,5,1,5
SO51196,HL-U509-B,18906,20121229,20130105,20130110,35,1,35
SO51196,LJ-0192-L,18906,20121229,20130105,20130110,50,1,50
SO51197,BK-M68B-46,11448,20121229,20130105,20130110,2295,1,2295
SO51197,BC-M005,11448,20121229,20130105,20130110,10,1,10
SO51197,WB-H098,11448,20121229,20130105,20130110,5,1,5
SO51197,CA-1098,11448,20121229,20130105,20130110,9,1,9
SO51198,BK-M68S-46,11006,20121229,20130105,20130110,2320,1,2320
SO51198,BC-M005,11006,20121229,20130105,20130110,10,1,10
SO51198,WB-H098,11006,20121229,20130105,20130110,5,1,5
SO51199,BK-R19B-52,21440,20121229,20130105,20130110,540,1,540
SO51199,BC-R205,21440,20121229,20130105,20130110,9,1,9
SO51199,CA-1098,21440,20121229,20130105,20130110,9,1,9
SO51199,WB-H098,21440,20121229,20130105,20130110,5,1,5
SO51200,BK-R64Y-48,22687,20121229,20130105,20130110,1120,1,1120
SO51200,HL-U509,22687,20121229,20130105,20130110,35,1,35
SO51201,BK-T79U-46,27820,20121229,20130105,20130110,2384,1,2384
SO51201,HL-U509-B,27820,20121229,20130105,20130110,35,1,35
SO51202,BK-T44U-50,26864,20121229,20130105,20130110,1215,1,1215
SO51202,SJ-0194-M,26864,20121229,20130105,20130110,54,1,54
SO51203,BK-R89R-58,18208,20121230,20130106,20130111,2443,1,2443
SO51203,BC-R205,18208,20121230,20130106,20130111,9,1,9
SO51203,WB-H098,18208,20121230,20130106,20130111,5,1,5
SO51204,BK-R89B-44,13519,20121230,20130106,20130111,2443,1,2443
SO51205,BK-M68S-42,11240,20121230,20130106,20130111,2320,1,2320
SO51205,BC-M005,11240,20121230,20130106,20130111,10,1,10
SO51205,WB-H098,11240,20121230,20130106,20130111,5,1,5
SO51205,HL-U509-B,11240,20121230,20130106,20130111,35,1,35
SO51206,BK-M68B-42,11400,20121230,20130106,20130111,2295,1,2295
SO51206,BC-M005,11400,20121230,20130106,20130111,10,1,10
SO51206,WB-H098,11400,20121230,20130106,20130111,5,1,5
SO51206,CA-1098,11400,20121230,20130106,20130111,9,1,9
SO51207,BK-M68S-46,11338,20121230,20130106,20130111,2320,1,2320
SO51207,BC-M005,11338,20121230,20130106,20130111,10,1,10
SO51207,WB-H098,11338,20121230,20130106,20130111,5,1,5
SO51207,HL-U509-R,11338,20121230,20130106,20130111,35,1,35
SO51208,BK-R89R-58,23234,20121230,20130106,20130111,2443,1,2443
SO51208,HL-U509-B,23234,20121230,20130106,20130111,35,1,35
SO51209,BK-M18S-44,13059,20121230,20130106,20130111,565,1,565
SO51209,FE-6654,13059,20121230,20130106,20130111,22,1,22
SO51209,HL-U509,13059,20121230,20130106,20130111,35,1,35
SO51209,GL-H102-M,13059,20121230,20130106,20130111,24,1,24
SO51210,BK-M68B-42,11261,20121230,20130106,20130111,2295,1,2295
SO51210,HL-U509-B,11261,20121230,20130106,20130111,35,1,35
SO51211,BK-T18U-54,13841,20121230,20130106,20130111,742,1,742
SO51211,SO-R809-L,13841,20121230,20130106,20130111,9,1,9
SO51212,BK-R64Y-40,24604,20121230,20130106,20130111,1120,1,1120
SO51212,TI-R628,24604,20121230,20130106,20130111,25,1,25
SO51212,TT-R982,24604,20121230,20130106,20130111,4,1,4
SO51212,HL-U509-R,24604,20121230,20130106,20130111,35,1,35
SO51212,SJ-0194-S,24604,20121230,20130106,20130111,54,1,54
SO51213,BK-T79U-60,28202,20121230,20130106,20130111,2384,1,2384
SO51213,HL-U509-B,28202,20121230,20130106,20130111,35,1,35
SO51214,BK-R19B-58,19765,20121230,20130106,20130111,540,1,540
SO51214,BC-R205,19765,20121230,20130106,20130111,9,1,9
SO51214,WB-H098,19765,20121230,20130106,20130111,5,1,5
SO51215,BK-M68B-42,11108,20121230,20130106,20130111,2295,1,2295
SO51215,TI-M823,11108,20121230,20130106,20130111,35,1,35
SO51216,BK-M68S-42,11117,20121230,20130106,20130111,2320,1,2320
SO51216,FE-6654,11117,20121230,20130106,20130111,22,1,22
SO51216,BC-M005,11117,20121230,20130106,20130111,10,1,10
SO51216,WB-H098,11117,20121230,20130106,20130111,5,1,5
SO51216,CA-1098,11117,20121230,20130106,20130111,9,1,9
SO51217,BK-M68S-38,11449,20121230,20130106,20130111,2320,1,2320
SO51217,TT-M928,11449,20121230,20130106,20130111,5,1,5
SO51217,TI-M823,11449,20121230,20130106,20130111,35,1,35
SO51217,PK-7098,11449,20121230,20130106,20130111,2,1,2
SO51218,BK-M18B-40,11943,20121230,20130106,20130111,540,1,540
SO51219,BK-T44U-60,25086,20121230,20130106,20130111,1215,1,1215
SO51219,TT-T092,25086,20121230,20130106,20130111,5,1,5
SO51219,TI-T723,25086,20121230,20130106,20130111,29,1,29
SO51219,GL-H102-S,25086,20121230,20130106,20130111,24,1,24
SO51219,HL-U509,25086,20121230,20130106,20130111,35,1,35
SO51220,BK-R19B-44,21575,20121230,20130106,20130111,540,1,540
SO51220,BC-R205,21575,20121230,20130106,20130111,9,1,9
SO51221,BK-R64Y-48,12130,20121230,20130106,20130111,1120,1,1120
SO51221,CA-1098,12130,20121230,20130106,20130111,9,1,9
SO51221,SJ-0194-L,12130,20121230,20130106,20130111,54,1,54
SO51222,BK-R19B-48,25641,20121230,20130106,20130111,540,1,540
SO51222,TI-R092,25641,20121230,20130106,20130111,21,1,21
SO51223,BK-T44U-46,26826,20121230,20130106,20130111,1215,1,1215
SO51223,BC-R205,26826,20121230,20130106,20130111,9,1,9
SO51223,WB-H098,26826,20121230,20130106,20130111,5,1,5
SO51223,SO-R809-L,26826,20121230,20130106,20130111,9,1,9
SO51224,BK-M68S-38,11345,20121231,20130107,20130112,2320,1,2320
SO51224,TI-M823,11345,20121231,20130107,20130112,35,1,35
SO51225,BK-R79Y-42,20982,20121231,20130107,20130112,1701,1,1701
SO51225,SJ-0194-L,20982,20121231,20130107,20130112,54,1,54
SO51225,CA-1098,20982,20121231,20130107,20130112,9,1,9
SO51226,BK-R89B-58,22822,20121231,20130107,20130112,2443,1,2443
SO51226,TI-R982,22822,20121231,20130107,20130112,33,1,33
SO51227,BK-R89B-52,25793,20121231,20130107,20130112,2443,1,2443
SO51227,TT-R982,25793,20121231,20130107,20130112,4,1,4
SO51227,TI-R982,25793,20121231,20130107,20130112,33,1,33
SO51228,BK-M68S-42,11402,20121231,20130107,20130112,2320,1,2320
SO51228,WB-H098,11402,20121231,20130107,20130112,5,1,5
SO51228,BC-M005,11402,20121231,20130107,20130112,10,1,10
SO51228,HY-1023-70,11402,20121231,20130107,20130112,55,1,55
SO51228,CA-1098,11402,20121231,20130107,20130112,9,1,9
SO51229,BK-R89B-52,20038,20121231,20130107,20130112,2443,1,2443
SO51230,BK-M68B-38,11292,20121231,20130107,20130112,2295,1,2295
SO51230,FE-6654,11292,20121231,20130107,20130112,22,1,22
SO51230,WB-H098,11292,20121231,20130107,20130112,5,1,5
SO51230,BC-M005,11292,20121231,20130107,20130112,10,1,10
SO51231,BK-M68B-46,11257,20121231,20130107,20130112,2295,1,2295
SO51231,PK-7098,11257,20121231,20130107,20130112,2,1,2
SO51232,BK-T18Y-58,11615,20121231,20130107,20130112,742,1,742
SO51232,HL-U509-R,11615,20121231,20130107,20130112,35,1,35
SO51233,BK-R79Y-48,18467,20121231,20130107,20130112,1701,1,1701
SO51234,BK-T79Y-50,28204,20121231,20130107,20130112,2384,1,2384
SO51234,HL-U509-R,28204,20121231,20130107,20130112,35,1,35
SO51235,BK-M68B-42,11105,20121231,20130107,20130112,2295,1,2295
SO51236,BK-M68B-38,11106,20121231,20130107,20130112,2295,1,2295
SO51237,BK-M68S-46,11061,20121231,20130107,20130112,2320,1,2320
SO51237,BC-M005,11061,20121231,20130107,20130112,10,1,10
SO51237,WB-H098,11061,20121231,20130107,20130112,5,1,5
SO51237,HL-U509-R,11061,20121231,20130107,20130112,35,1,35
SO51238,BK-M68B-38,11002,20121231,20130107,20130112,2295,1,2295
SO51239,BK-M68S-38,11076,20121231,20130107,20130112,2320,1,2320
SO51239,HY-1023-70,11076,20121231,20130107,20130112,55,1,55
SO51240,BK-R19B-58,23859,20121231,20130107,20130112,540,1,540
SO51240,HL-U509-B,23859,20121231,20130107,20130112,35,1,35
SO51241,BK-R19B-52,21600,20121231,20130107,20130112,540,1,540
SO51241,TI-R092,21600,20121231,20130107,20130112,21,1,21
SO51241,PK-7098,21600,20121231,20130107,20130112,2,1,2
SO51242,BK-R64Y-44,19225,20121231,20130107,20130112,1120,1,1120
SO51242,HL-U509-B,19225,20121231,20130107,20130112,35,1,35
SO51242,VE-C304-S,19225,20121231,20130107,20130112,64,1,64
SO51243,BK-R19B-48,25609,20121231,20130107,20130112,540,1,540
SO51243,TI-R092,25609,20121231,20130107,20130112,21,1,21
SO51243,TT-R982,25609,20121231,20130107,20130112,4,1,4
SO51244,BK-R19B-44,29355,20121231,20130107,20130112,540,1,540
SO51244,TI-R092,29355,20121231,20130107,20130112,21,1,21
SO51244,TT-R982,29355,20121231,20130107,20130112,4,1,4
SO51244,PK-7098,29355,20121231,20130107,20130112,2,1,2
SO51245,BK-T79Y-50,12124,20121231,20130107,20130112,2384,1,2384
SO51245,HL-U509-B,12124,20121231,20130107,20130112,35,1,35
SO51245,CA-1098,12124,20121231,20130107,20130112,9,1,9
SO51246,BK-T79U-50,25625,20121231,20130107,20130112,2384,1,2384
SO51246,BC-R205,25625,20121231,20130107,20130112,9,1,9
SO51246,WB-H098,25625,20121231,20130107,20130112,5,1,5
SO51246,HL-U509-R,25625,20121231,20130107,20130112,35,1,35
SO51247,BK-M68B-42,11249,20130101,20130108,20130113,2295,1,2295
SO51247,WB-H098,11249,20130101,20130108,20130113,5,1,5
SO51247,BC-M005,11249,20130101,20130108,20130113,10,1,10
SO51248,BK-R89B-52,12307,20130101,20130108,20130113,2443,1,2443
SO51249,BK-M68S-38,11334,20130101,20130108,20130113,2320,1,2320
SO51249,BC-M005,11334,20130101,20130108,20130113,10,1,10
SO51249,WB-H098,11334,20130101,20130108,20130113,5,1,5
SO51250,BK-R89B-48,19360,20130101,20130108,20130113,2443,1,2443
SO51250,BC-R205,19360,20130101,20130108,20130113,9,1,9
SO51250,WB-H098,19360,20130101,20130108,20130113,5,1,5
SO51250,SJ-0194-M,19360,20130101,20130108,20130113,54,1,54
SO51251,BK-R89B-44,11433,20130101,20130108,20130113,2443,1,2443
SO51252,BK-M18S-42,15551,20130101,20130108,20130113,565,1,565
SO51252,TI-M267,15551,20130101,20130108,20130113,25,1,25
SO51252,PK-7098,15551,20130101,20130108,20130113,2,1,2
SO51253,BK-R89B-52,22785,20130101,20130108,20130113,2443,1,2443
SO51253,CL-9009,22785,20130101,20130108,20130113,8,1,8
SO51254,BK-R89R-58,20180,20130101,20130108,20130113,2443,1,2443
SO51254,TT-R982,20180,20130101,20130108,20130113,4,1,4
SO51254,TI-R982,20180,20130101,20130108,20130113,33,1,33
SO51254,CL-9009,20180,20130101,20130108,20130113,8,1,8
SO51255,BK-R64Y-42,23105,20130101,20130108,20130113,1120,1,1120
SO51255,HL-U509,23105,20130101,20130108,20130113,35,1,35
SO51255,GL-H102-S,23105,20130101,20130108,20130113,24,1,24
SO51256,BK-M68B-46,11017,20130101,20130108,20130113,2295,1,2295
SO51256,FE-6654,11017,20130101,20130108,20130113,22,1,22
SO51257,BK-R64Y-38,19167,20130101,20130108,20130113,1120,1,1120
SO51258,BK-R64Y-42,18544,20130101,20130108,20130113,1120,1,1120
SO51258,HL-U509-R,18544,20130101,20130108,20130113,35,1,35
SO51259,BK-T79U-46,11433,20130101,20130108,20130113,2384,1,2384
SO51259,BC-R205,11433,20130101,20130108,20130113,9,1,9
SO51259,WB-H098,11433,20130101,20130108,20130113,10,2,
SO51259,HL-U509-R,11433,20130101,20130108,20130113,35,1,35
SO51259,CA-1098,11433,20130101,20130108,20130113,9,1,9
SO51260,BK-T79U-54,25618,20130101,20130108,20130113,2384,1,2384
SO51260,BC-R205,25618,20130101,20130108,20130113,9,1,9
SO51260,WB-H098,25618,20130101,20130108,20130113,5,1,5
SO51261,BK-T44U-50,12271,20130101,20130108,20130113,1215,1,1215
SO51261,SJ-0194-S,12271,20130101,20130108,20130113,54,1,54
SO51262,BK-M68B-38,11340,20130102,20130109,20130114,2295,1,2295
SO51262,BC-M005,11340,20130102,20130109,20130114,10,1,10
SO51262,WB-H098,11340,20130102,20130109,20130114,5,1,5
SO51262,SJ-0194-X,11340,20130102,20130109,20130114,54,1,54
SO51263,BK-M38S-40,21534,20130102,20130109,20130114,769,1,769
SO51263,TT-M928,21534,20130102,20130109,20130114,5,1,5
SO51263,TI-M602,21534,20130102,20130109,20130114,30,1,30
SO51263,HL-U509,21534,20130102,20130109,20130114,35,1,35
SO51264,BK-M68B-42,11282,20130102,20130109,20130114,2295,1,2295
SO51264,TT-M928,11282,20130102,20130109,20130114,5,1,5
SO51264,TI-M823,11282,20130102,20130109,20130114,35,1,35
SO51264,FE-6654,11282,20130102,20130109,20130114,22,1,22
SO51264,VE-C304-L,11282,20130102,20130109,20130114,64,1,64
SO51265,BK-M68B-46,11264,20130102,20130109,20130114,2295,1,2295
SO51265,FE-6654,11264,20130102,20130109,20130114,22,1,22
SO51265,LJ-0192-S,11264,20130102,20130109,20130114,50,1,50
SO51265,CA-1098,11264,20130102,20130109,20130114,9,1,9
SO51266,BK-T79Y-60,28136,20130102,20130109,20130114,2384,1,2384
SO51267,BK-M68B-46,11456,20130102,20130109,20130114,2295,1,2295
SO51267,FE-6654,11456,20130102,20130109,20130114,22,1,22
SO51267,BC-M005,11456,20130102,20130109,20130114,10,1,10
SO51267,WB-H098,11456,20130102,20130109,20130114,5,1,5
SO51267,HL-U509-R,11456,20130102,20130109,20130114,35,1,35
SO51267,GL-H102-M,11456,20130102,20130109,20130114,24,1,24
SO51268,BK-R89B-48,18212,20130103,20130110,20130115,2443,1,2443
SO51268,CL-9009,18212,20130103,20130110,20130115,8,1,8
SO51269,BK-R89B-44,16693,20130103,20130110,20130115,2443,1,2443
SO51269,TI-R982,16693,20130103,20130110,20130115,33,1,33
SO51269,TT-R982,16693,20130103,20130110,20130115,4,1,4
SO51269,PK-7098,16693,20130103,20130110,20130115,2,1,2
SO51270,BK-M68B-38,11341,20130103,20130110,20130115,2295,1,2295
SO51270,HL-U509-B,11341,20130103,20130110,20130115,35,1,35
SO51270,CA-1098,11341,20130103,20130110,20130115,9,1,9
SO51271,BK-R79Y-44,16944,20130103,20130110,20130115,1701,1,1701
SO51271,HL-U509,16944,20130103,20130110,20130115,35,1,35
SO51271,LJ-0192-L,16944,20130103,20130110,20130115,50,1,50
SO51271,GL-H102-S,16944,20130103,20130110,20130115,24,1,24
SO51272,BK-R89R-58,19418,20130103,20130110,20130115,2443,1,2443
SO51272,TI-R982,19418,20130103,20130110,20130115,33,1,33
SO51273,BK-R89B-52,19341,20130103,20130110,20130115,2443,1,2443
SO51273,HY-1023-70,19341,20130103,20130110,20130115,55,1,55
SO51274,BK-R89R-58,25779,20130103,20130110,20130115,2443,1,2443
SO51274,TT-R982,25779,20130103,20130110,20130115,4,1,4
SO51274,TI-R982,25779,20130103,20130110,20130115,33,1,33
SO51275,BK-M68B-38,11265,20130103,20130110,20130115,2295,1,2295
SO51275,FE-6654,11265,20130103,20130110,20130115,22,1,22
SO51275,HL-U509-B,11265,20130103,20130110,20130115,35,1,35
SO51276,BK-M68B-38,11136,20130103,20130110,20130115,2295,1,2295
SO51276,FE-6654,11136,20130103,20130110,20130115,22,1,22
SO51276,VE-C304-M,11136,20130103,20130110,20130115,64,1,64
SO51277,BK-M68B-46,11278,20130103,20130110,20130115,2295,1,2295
SO51277,HL-U509,11278,20130103,20130110,20130115,35,1,35
SO51278,BK-T18U-54,27766,20130103,20130110,20130115,742,1,742
SO51278,HL-U509-B,27766,20130103,20130110,20130115,35,1,35
SO51278,LJ-0192-L,27766,20130103,20130110,20130115,50,1,50
SO51279,BK-T18Y-50,20716,20130103,20130110,20130115,742,1,742
SO51279,HL-U509,20716,20130103,20130110,20130115,35,1,35
SO51280,BK-R79Y-44,18468,20130103,20130110,20130115,1701,1,1701
SO51280,SJ-0194-M,18468,20130103,20130110,20130115,54,1,54
SO51281,BK-R79Y-42,18697,20130103,20130110,20130115,1701,1,1701
SO51282,BK-M68B-42,11008,20130103,20130110,20130115,2295,1,2295
SO51282,WB-H098,11008,20130103,20130110,20130115,5,1,5
SO51282,BC-M005,11008,20130103,20130110,20130115,10,1,10
SO51282,PK-7098,11008,20130103,20130110,20130115,2,1,2
SO51283,BK-R19B-44,24386,20130103,20130110,20130115,540,1,540
SO51283,TI-R092,24386,20130103,20130110,20130115,21,1,21
SO51283,TT-R982,24386,20130103,20130110,20130115,4,1,4
SO51284,BK-R64Y-42,22667,20130103,20130110,20130115,1120,1,1120
SO51284,LJ-0192-L,22667,20130103,20130110,20130115,50,1,50
SO51285,BK-M68S-38,12397,20130104,20130111,20130116,2320,1,2320
SO51285,BC-M005,12397,20130104,20130111,20130116,10,1,10
SO51286,BK-M38S-40,16311,20130104,20130111,20130116,769,1,769
SO51286,TI-M602,16311,20130104,20130111,20130116,30,1,30
SO51286,TT-M928,16311,20130104,20130111,20130116,5,1,5
SO51286,PK-7098,16311,20130104,20130111,20130116,2,1,2
SO51287,BK-R89B-44,24883,20130104,20130111,20130116,2443,1,2443
SO51287,HL-U509-B,24883,20130104,20130111,20130116,35,1,35
SO51287,CA-1098,24883,20130104,20130111,20130116,9,1,9
SO51288,BK-M68S-46,11335,20130104,20130111,20130116,2320,1,2320
SO51288,FE-6654,11335,20130104,20130111,20130116,22,1,22
SO51288,PK-7098,11335,20130104,20130111,20130116,2,1,2
SO51289,BK-M68S-46,11084,20130104,20130111,20130116,2320,1,2320
