prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
430,CO-RF-FR-R72Y-40,ML Road Frame-W - Yellow- 40,361,R ,2013-07-01,
431,CO-RF-FR-R72Y-42,ML Road Frame-W - Yellow- 42,300,R ,2012-07-01,2008-12-27
432,CO-RF-FR-R72Y-42,ML Road Frame-W - Yellow- 42,361,R ,2013-07-01,
433,CO-RF-FR-R72Y-44,ML Road Frame-W - Yellow- 44,300,R ,2012-07-01,2008-12-27
434,CO-RF-FR-R72Y-44,ML Road Frame-W - Yellow- 44,361,R ,2013-07-01,
435,CO-RF-FR-R72Y-48,ML Road Frame-W - Yellow- 48,300,R ,2012-07-01,2008-12-27
436,CO-RF-FR-R72Y-48,ML Road Frame-W - Yellow- 48,361,R ,2013-07-01,
437,CO-RF-FR-R92B-62,HL Road Frame - Black- 62,722,R ,2012-07-01,2008-12-27
438,CO-RF-FR-R92B-62,HL Road Frame - Black- 62,869,R ,2013-07-01,
439,CO-RF-FR-R92B-44,HL Road Frame - Black- 44,722,R ,2012-07-01,2008-12-27
440,CO-RF-FR-R92B-44,HL Road Frame - Black- 44,869,R ,2013-07-01,
441,CO-RF-FR-R92B-48,HL Road Frame - Black- 48,722,R ,2012-07-01,2008-12-27
442,CO-RF-FR-R92B-48,HL Road Frame - Black- 48,869,R ,2013-07-01,
443,CO-RF-FR-R92B-52,HL Road Frame - Black- 52,722,R ,2012-07-01,2008-12-27
444,CO-RF-FR-R92B-52,HL Road Frame - Black- 52,869,R ,2013-07-01,
445,CL-SH-SH-M897-S,Men's Sports Shorts- S,25,S ,2012-07-01,2008-12-27
446,AC-PA-PA-T100,Touring-Panniers- Large,52,T ,2012-07-01,2008-12-27
447,AC-LO-LO-C100,Cable Lock,10,S ,2012-07-01,2008-12-27
448,AC-PU-PU-0452,Minipump,8,S ,2012-07-01,2008-12-27
449,AC-PU-PU-M044,Mountain Pump,10,M ,2012-07-01,2008-12-27
450,AC-LI-LT-T990,Taillights - Battery-Powered,6,R ,2012-07-01,2008-12-27
451,AC-LI-LT-H902,Headlights - Dual-Beam,14,R ,2012-07-01,2008-12-27
452,AC-LI-LT-H903,Headlights - Weatherproof,19,R ,2012-07-01,2008-12-27
453,CL-SH-SH-M897-M,Men's Sports Shorts- M,25,S ,2012-07-01,2008-12-27
454,CL-SH-SH-M897-L,Men's Sports Shorts- L,25,S ,2012-07-01,2008-12-27
455,CL-SH-SH-M897-X,Men's Sports Shorts- XL,25,S ,2012-07-01,2008-12-27
456,CL-TI-TG-W091-S,Women's Tights- S,31,S ,2012-07-01,2008-12-27
457,CL-TI-TG-W091-M,Women's Tights- M,31,S ,2012-07-01,2008-12-27
458,CL-TI-TG-W091-L,Women's Tights- L,31,S ,2012-07-01,2008-12-27
459,CL-BS-SB-M891-S,Men's Bib-Shorts- S,37,S ,2012-07-01,2008-12-27
460,CL-BS-SB-M891-M,Men's Bib-Shorts- M,37,S ,2012-07-01,2008-12-27
461,CL-BS-SB-M891-L,Men's Bib-Shorts- L,37,S ,2012-07-01,2008-12-27
462,CL-GL-GL-H102-S,Half-Finger Gloves- S,10,S ,2012-07-01,2008-12-27
463,CL-GL-GL-H102-S,Half-Finger Gloves- S,9,S ,2013-07-01,
464,CL-GL-GL-H102-M,Half-Finger Gloves- M,10,S ,2012-07-01,2008-12-27
465,CL-GL-GL-H102-M,Half-Finger Gloves- M,9,S ,2013-07-01,
466,CL-GL-GL-H102-L,Half-Finger Gloves- L,10,S ,2012-07-01,2008-12-27
467,CL-GL-GL-H102-L,Half-Finger Gloves- L,9,S ,2013-07-01,
468,CL-GL-GL-F110-S,Full-Finger Gloves- S,16,M ,2012-07-01,2008-12-27
469,CL-GL-GL-F110-M,Full-Finger Gloves- M,16,M ,2012-07-01,2008-12-27
470,CL-GL-GL-F110-L,Full-Finger Gloves- L,16,M ,2012-07-01,2008-12-27
471,CL-VE-VE-C304-S,Classic Vest- S,24,S ,2013-07-01,
472,CL-VE-VE-C304-M,Classic Vest- M,24,S ,2013-07-01,
473,CL-VE-VE-C304-L,Classic Vest- L,24,S ,2013-07-01,
474,CL-SH-SH-W890-S,Women's Mountain Shorts- S,26,M ,2013-07-01,
475,CL-SH-SH-W890-M,Women's Mountain Shorts- M,26,M ,2013-07-01,
476,CL-SH-SH-W890-L,Women's Mountain Shorts- L,26,M ,2013-07-01,
477,AC-BC-WB-H098,Water Bottle - 30 oz.,2,S ,2013-07-01,
478,AC-BC-BC-M005,Mountain Bottle Cage,4,M ,2013-07-01,
479,AC-BC-BC-R205,Road Bottle Cage,3,R ,2013-07-01,
480,AC-TT-PK-7098,Patch Kit/8 Patches,1,S ,2013-07-01,
481,CL-SO-SO-R809-M,Racing Socks- M,3,R ,2013-07-01,
482,CL-SO-SO-R809-L,Racing Socks- L,3,R ,2013-07-01,
483,AC-BR-RA-H123,Hitch Rack - 4-Bike,45,S ,2013-07-01,
484,AC-CL-CL-9009,Bike Wash - Dissolver,3,S ,2013-07-01,
485,AC-FE-FE-6654,Fender Set - Mountain,8,M ,2013-07-01,
486,AC-BS-ST-1401,All-Purpose Bike Stand,59,M ,2013-07-01,
487,AC-HP-HY-1023-70,Hydration Pack - 70 oz.,21,S ,2013-07-01,
488,CL-JE-SJ-0194-S,Short-Sleeve Classic Jersey- S,42,S ,2013-07-01,
489,CL-JE-SJ-0194-M,Short-Sleeve Classic Jersey- M,42,S ,2013-07-01,
490,CL-JE-SJ-0194-L,Short-Sleeve Classic Jersey- L,42,S ,2013-07-01,
491,CL-JE-SJ-0194-X,Short-Sleeve Classic Jersey- XL,42,S ,2013-07-01,
492,CO-TF-FR-T98Y-60,HL Touring Frame - Yellow- 60,602,T ,2013-07-01,
493,CO-TF-FR-T67Y-62,LL Touring Frame - Yellow- 62,200,T ,2013-07-01,
494,CO-TF-FR-T98Y-46,HL Touring Frame - Yellow- 46,602,T ,2013-07-01,
495,CO-TF-FR-T98Y-50,HL Touring Frame - Yellow- 50,602,T ,2013-07-01,
496,CO-TF-FR-T98Y-54,HL Touring Frame - Yellow- 54,602,T ,2013-07-01,
497,CO-TF-FR-T98U-46,HL Touring Frame - Blue- 46,602,T ,2013-07-01,
498,CO-TF-FR-T98U-50,HL Touring Frame - Blue- 50,602,T ,2013-07-01,
499,CO-TF-FR-T98U-54,HL Touring Frame - Blue- 54,602,T ,2013-07-01,
500,CO-TF-FR-T98U-60,HL Touring Frame - Blue- 60,602,T ,2013-07-01,
