CID,CNTRY
AW-00011927,US
AW-00011928,US
AW-00011929,Australia
AW-00011930,Australia
AW-00011931,US
AW-00011932,US
AW-00011933,US
AW-00011934,US
AW-00011935,US
AW-00011936,US
AW-00011937,US
AW-00011938,US
AW-00011939,US
AW-00011940,US
AW-00011941,US
AW-00011942,Australia
AW-00011943,Australia
AW-00011944,Australia
AW-00011945,US
AW-00011946,Australia
AW-00011947,Australia
AW-00011948,Australia
AW-00011949,US
AW-00011950,US
AW-00011951,Australia
AW-00011952,Australia
AW-00011953,US
AW-00011954,US
AW-00011955,US
AW-00011956,US
AW-00011957,US
AW-00011958,US
AW-00011959,US
AW-00011960,US
AW-00011961,US
AW-00011962,US
AW-00011963,Australia
AW-00011964,Australia
AW-00011965,Australia
AW-00011966,Australia
AW-00011967,Australia
AW-00011968,Australia
AW-00011969,Australia
AW-00011970,US
AW-00011971,US
AW-00011972,US
AW-00011973,US
AW-00011974,US
AW-00011975,US
AW-00011976,Australia
AW-00011977,Australia
AW-00011978,US
AW-00011979,Canada
AW-00011980,US
AW-00011981,US
AW-00011982,US
AW-00011983,US
AW-00011984,Canada
AW-00011985,US
AW-00011986,Australia
AW-00011987,Australia
AW-00011988,Australia
AW-00011989,Australia
AW-00011990,Australia
AW-00011991,Australia
AW-00011992,Australia
AW-00011993,Australia
AW-00011994,Australia
AW-00011995,Australia
AW-00011996,Australia
AW-00011997,Australia
AW-00011998,Australia
AW-00011999,Australia
AW-00012000,Australia
